Road Type,Speed Limit,Lanes,Coordinates
residential,Unknown,Unknown,"[53085261, 53039595]"
residential,Unknown,Unknown,"[53069771, 3054731049, 53086457, 1056930032, 8778129938, 1056930160, 1056929955, 5398185922, 1056930152, 1056930110]"
residential,Unknown,Unknown,"[53089351, 12088394705, 239490621]"
secondary,35 mph,Unknown,"[53069735, 670154285, 414548226, 7496706664, 436763218]"
residential,Unknown,Unknown,"[344583548, 8676571490, 7530694058, 4664813743, 53069738, 4664813745, 7411645833, 6857890405, 53077741]"
residential,Unknown,Unknown,"[53090362, 414539009, 53090364, 5448591902, 5448591899, 53090367, 5448591888, 5448591891, 4593390720, 4593390723, 53030319, 4015673568, 5448591852, 53090368]"
residential,Unknown,Unknown,"[53090954, 53090955]"
residential,Unknown,Unknown,"[53091337, 53091338]"
residential,Unknown,Unknown,"[53091559, 1315753774, 53091561, 1315753766, 310980134, 310980147]"
residential,Unknown,Unknown,"[53041196, 712670345, 712670354, 3702026186, 5459782482, 5459782474, 5459782476, 3695574797, 53077818, 3695813954, 3695813953, 3701774427, 53046340, 4941951898, 3558263300, 4941951890, 3558263299, 53092432, 3696106060]"
unclassified,Unknown,2,"[53043015, 1234578832, 4407426931, 53043162, 712658181, 712658183, 712658185, 9763709307, 8793974516, 53092612, 8793974523, 8793974522, 53025011]"
residential,Unknown,Unknown,"[53084234, 1239362375, 53092626, 53092628]"
residential,Unknown,Unknown,"[53093636, 53093637]"
residential,Unknown,Unknown,"[53093786, 4632500542, 4886034860, 5459782317, 53093787, 4941874880, 3701598636, 4886034845, 5459782316, 12088394704, 5965698321, 53043638, 239490858, 5965698318, 12088394703, 53089351, 53093788]"
residential,Unknown,Unknown,"[53081151, 310695980]"
footway,Unknown,Unknown,"[712662543, 3642901476]"
residential,Unknown,Unknown,"[53097359, 53097360]"
residential,Unknown,Unknown,"[53086515, 53084234, 1239362361, 53097715, 1239362346, 1239362329, 53097719, 1239362347, 53097725, 53097729, 53046545, 1239362334, 53097737, 53083847, 53074912, 1239362319, 1239362270, 1239362273, 53036390]"
service,Unknown,Unknown,"[53073232, 4941952290, 4941952288, 4941952287, 4941952285, 1234578893, 4941952295]"
residential,Unknown,Unknown,"[53098197, 5459782280, 12088394708, 53098198, 12088394709, 12123582414, 12123582412, 53092437, 12123582409, 12123582413, 53093788, 53098201]"
